,parcelid,basementsqft,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,garagetotalsqft,latitude,longitude,lotsizesquarefeet,poolsizesum,yardbuildingsqft17,yardbuildingsqft26,structuretaxvaluedollarcnt,taxvaluedollarcnt,landtaxvaluedollarcnt,taxamount,bathroomcnt,bedroomcnt,calculatedbathnbr,fireplacecnt,fullbathcnt,garagecarcnt,roomcnt,threequarterbathnbr,unitcnt,numberofstories,poolcnt,logerror
latitude,-0.2402838682838733,0.017260772286224642,0.22809548788933195,0.006156627199237262,0.013234406459615116,0.016813644227831808,0.008204704429623302,0.2273254685787385,-0.06415111931266963,-0.32239611639819243,1.0,-0.5940965772155917,0.10472766465225279,0.08585288605036732,0.1274519821856744,0.02435526032759372,-0.015961550846970384,-0.11239949860831563,-0.14739889811884724,-0.07840816092212162,0.022711012926937967,0.06633105581937965,0.022379648279621515,0.006458685512024487,0.07255342503250348,-0.4514060343766519,-0.20649476872001293,-0.2968091368454623,0.3878843466364025,-0.20430513714110005,0.07311013460632344,0.00491546642538591
longitude,-0.018132036952347257,-0.04224802467714032,-0.5523915815065726,-0.01939657213704384,-0.0123107025235972,-0.045989205726650446,-0.02833669554394913,-0.5499618959073973,0.051791566750306293,0.14431373680840562,-0.5940965772155917,1.0,-0.07379697373614749,-0.19101530538826925,-0.294314305412149,-0.049996650002457,-0.057669481384484855,-0.024661027634676796,-0.004070522622328199,-0.03519130953609107,-0.018346596116430823,-0.004879073835031048,-0.0148671342905957,-0.25580922446642995,-0.04326223726947137,0.20693266611377412,-0.05086665973685404,0.16725749516753846,-0.18863466844502674,-0.0661637531509103,-0.06521417666833895,-0.0034322172320969757
lotsizesquarefeet,-0.08650731859915185,-0.0005277824498388518,-0.024618143399607398,-0.03675512643173318,-0.019536053212437815,-0.0036087535567488073,-0.027297963524570333,-0.02420051406377766,-0.008434327053850783,-0.0696971602922804,0.10472766465225279,-0.07379697373614749,1.0,-0.0013928672221747169,-0.01208505017319076,0.006752816844003404,0.010594094496936912,-0.01775875222941852,-0.030133657195233306,-0.01768725336771318,0.0047340217144216335,-0.08808191543290304,0.0032751229846626176,-0.04445187770461285,0.014457213803913273,-0.11117331858107944,-0.08027821513400107,-0.06675330673823761,0.08663191171075148,-0.08442149917286336,0.11723347387824046,0.005356525031593184
poolsizesum,0.1686613288467124,0.03680693179774037,0.47772131704595694,0.11669036808876194,0.12394649457596554,-0.0019027070341637883,-0.018396771167410852,0.4756803187981442,-0.005895887455890871,0.21611649256651133,0.08585288605036732,-0.19101530538826925,-0.0013928672221747169,1.0,0.36831686579075856,0.05713832196195334,0.09012007052711016,0.05519878979874583,0.029444787112901206,0.03590702959195585,0.07728169403767354,0.08759200308874601,0.0753742504854236,0.3131655964303721,0.061337644349787515,0.16813304611730903,0.23013721185256256,0.09099296183112641,-0.11388835397815575,0.18870955453561641,0.20066000646340046,-0.00189882170081087
yardbuildingsqft17,0.2548124644487712,0.06609417439186546,0.5606860723654443,0.07280521324616407,0.085754993836981,-0.0007607866961588247,-0.025793806441350396,0.559005352399961,-0.0083834115979041,0.23218211904667185,0.1274519821856744,-0.294314305412149,-0.01208505017319076,0.36831686579075856,1.0,0.0729995011758223,0.06191600840147063,0.025754539376711866,0.0033693578999453855,0.0054268503192830405,0.04099878966011133,0.06533361866083155,0.04109559157239891,0.3525694727183758,0.0266030678495246,0.21511236142559823,0.28163080931014944,0.09081898788717713,-0.16173722199990556,0.247355265837502,0.02795492915457951,0.0025077268642622525
yardbuildingsqft26,0.03628199386163282,0.05322947026915861,0.12549284385052936,0.02751294905597815,0.028292881058809165,-0.00041577636834975724,-0.002610390921099446,0.13508421179846455,-0.0012883594954948873,0.05204554837916003,0.02435526032759372,-0.049996650002457,0.006752816844003404,0.05713832196195334,0.0729995011758223,1.0,0.0211097912541288,0.011670899036260054,0.005152958968501741,0.007375781784285905,0.016786837327995997,0.00761327000970857,0.01649238920572922,0.07080642522080556,0.013824637730371894,0.0425567343655856,0.04559646117962348,0.01748721424390289,-0.023956287727491723,0.03467722781769132,0.00032307678104032513,-0.0008534150182573538
structuretaxvaluedollarcnt,0.008243761207655492,0.023882789587222293,0.08802398650619904,0.6998327083288797,0.674430731012293,-0.01141853806138507,0.005071756076852043,0.08804278621177943,0.007497601804025896,0.18409413683955403,-0.015961550846970384,-0.057669481384484855,0.010594094496936912,0.09012007052711016,0.06191600840147063,0.0211097912541288,1.0,0.8242327242575941,0.6200795304292362,0.7906744233917936,0.586696794486754,0.30879647361342005,0.5673713621457184,0.05750070538939285,0.5501133716647832,0.09848169962810267,-0.02711942551048941,0.14238257021340886,-0.025674631858313174,-0.047718972102116106,0.21150362557707184,0.023141147983619093
taxvaluedollarcnt,0.003824862134554241,0.014421149857153134,0.031273024761887425,0.5885162130011824,0.5604616886640028,-0.008899935168177168,0.006429762685636103,0.031793953056940015,0.035721874322793494,0.1700488451688258,-0.11239949860831563,-0.024661027634676796,-0.01775875222941852,0.05519878979874583,0.025754539376711866,0.011670899036260054,0.8242327242575941,1.0,0.9553359631629584,0.9493748213465157,0.47636338090231883,0.24133538269110394,0.45849738654631733,0.04606969838655279,0.4433741574439944,0.09984919448881155,0.011531339371571126,0.12181044228635544,-0.03781766989882899,-0.0025866513446144374,0.16626449815272856,0.006525567435958554
landtaxvaluedollarcnt,0.000996979698632419,0.00751621601479455,-0.002610342343536216,0.4501500519681561,0.42453769696309634,-0.006371590821334589,0.006261505322741339,-0.0018984095178273064,0.045579586160808754,0.1395248187880185,-0.14739889811884724,-0.004070522622328199,-0.030133657195233306,0.029444787112901206,0.0033693578999453855,0.005152958968501741,0.6200795304292362,0.9553359631629584,1.0,0.9027087648126118,0.35380743411087096,0.17321093268547708,0.3391399586022349,0.033820249072115616,0.3271935852272718,0.08694389903378412,0.03013004213982959,0.09445961559170281,-0.03899685190501031,0.021320354145452722,0.11997682887766338,-0.00303602447071343
taxamount,-0.03072697684260152,0.010616586327095064,0.0005751051688917911,0.573456770862554,0.538357780912916,-0.010881684758377136,0.020413134592732314,0.0012081383921269504,0.03673678844427893,0.12072475148362088,-0.07840816092212162,-0.03519130953609107,-0.01768725336771318,0.03590702959195585,0.0054268503192830405,0.007375781784285905,0.7906744233917936,0.9493748213465157,0.9027087648126118,1.0,0.4618920076740493,0.23906095451288323,0.44321401289921236,0.009590585482354535,0.4332458660201692,0.04796115508522081,-0.031896584589458564,0.09037924400280128,0.003051190151267971,-0.04305971494900127,0.1552909146481564,-0.006670226749180016
bathroomcnt,-0.014073010901404535,0.018908136990528842,0.07130145018998106,0.7790912507029336,0.6608421310606237,-0.04051892964104984,0.21640539215790247,0.07139773893001061,-0.10015012966725713,0.20055875409629856,0.022711012926937967,-0.018346596116430823,0.0047340217144216335,0.07728169403767354,0.04099878966011133,0.016786837327995997,0.586696794486754,0.47636338090231883,0.35380743411087096,0.4618920076740493,1.0,0.6461198390938407,0.9932647681908222,0.0855489814456345,0.9792306679047431,0.12739306011184948,0.04446059109400772,0.1653845018922615,0.03722972063938182,0.003375507243136502,0.20146997625203367,0.027889286550778186
bedroomcnt,0.0049714382622064535,0.01006045833510679,0.09851746068221537,0.6439035569744225,0.4705804836772746,-0.047848360936826304,0.3349581792914758,0.09783228535968341,-0.1164414087457333,0.2502305981276079,0.06633105581937965,-0.004879073835031048,-0.08808191543290304,0.08759200308874601,0.06533361866083155,0.00761327000970857,0.30879647361342005,0.24133538269110394,0.17321093268547708,0.23906095451288323,0.6461198390938407,1.0,0.6553880833606399,0.12707025994178542,0.6514064262818107,0.11829010407195446,0.16448446447132126,0.07885849666933517,0.07684390901644679,0.09099560886873828,0.09961701925072138,0.025467090070982024
calculatedbathnbr,-0.018750429266753785,0.018200991923381638,0.07117163937817551,0.7600667121811165,0.6572615915848329,-0.056012980792497294,0.20634171186460876,0.0712575140630336,-0.14863060735166722,0.19978711537091773,0.022379648279621515,-0.0148671342905957,0.0032751229846626176,0.0753742504854236,0.04109559157239891,0.01649238920572922,0.5673713621457184,0.45849738654631733,0.3391399586022349,0.44321401289921236,0.9932647681908222,0.6553880833606399,1.0,0.08465735348887372,0.9861898605361937,0.12950745063387928,0.047796352524816114,0.16478637749891337,0.037398393126472494,0.0009714340254535658,0.20047941914684078,0.02730331630621417
fireplacecnt,0.4075028693179509,0.06482380497659893,0.6289935427414524,0.14388141566388368,0.17173255680565871,-0.00640651911077284,-0.05832828450997797,0.6257946067838852,-0.007232964850730389,0.5072972456229252,0.006458685512024487,-0.25580922446642995,-0.04445187770461285,0.3131655964303721,0.3525694727183758,0.07080642522080556,0.05750070538939285,0.04606969838655279,0.033820249072115616,0.009590585482354535,0.0855489814456345,0.12707025994178542,0.08465735348887372,1.0,0.04508488170580838,0.4979750810660419,0.6442439981607195,0.24489155955797612,-0.37993766727688943,0.6008626231877451,0.0383726130251495,0.006356507286078619
fullbathcnt,-0.07261515310048501,0.014171331441355626,0.04398750848150116,0.7414947522229935,0.6310615625869835,-0.055866019319364905,0.22136613423622278,0.04415076233417471,-0.14716980513091601,0.1346329730191825,0.07255342503250348,-0.04326223726947137,0.014457213803913273,0.061337644349787515,0.0266030678495246,0.013824637730371894,0.5501133716647832,0.4433741574439944,0.3271935852272718,0.4332458660201692,0.9792306679047431,0.6514064262818107,0.9861898605361937,0.04508488170580838,1.0,0.03763844699277596,-0.0017029727710551306,-0.0006084363744422307,0.11259896689842958,-0.055025574769281306,0.2070044519504089,0.02677657072224855
garagecarcnt,0.5656171890052206,0.02882770623018804,0.3805197833111154,0.1660100747498173,0.2279187024202009,-0.010273883926601812,-0.12421894282735409,0.3784413646873465,-0.0066217904503540655,0.816162776967278,-0.4514060343766519,0.20693266611377412,-0.11117331858107944,0.16813304611730903,0.21511236142559823,0.0425567343655856,0.09848169962810267,0.09984919448881155,0.08694389903378412,0.04796115508522081,0.12739306011184948,0.11829010407195446,0.12950745063387928,0.4979750810660419,0.03763844699277596,1.0,0.7163310982107018,0.5581350881927042,-0.770628606803151,0.6901192693471052,-0.025581068308623965,0.004616154313664112
roomcnt,0.48561759933056187,0.04070257678516253,0.4958746001596247,0.10393241466353167,0.15120450033847596,-0.00782345550351713,-0.09586697856590964,0.49332449686305513,0.0015432215178307104,0.7073588599836186,-0.20649476872001293,-0.05086665973685404,-0.08027821513400107,0.23013721185256256,0.28163080931014944,0.04559646117962348,-0.02711942551048941,0.011531339371571126,0.03013004213982959,-0.031896584589458564,0.04446059109400772,0.16448446447132126,0.047796352524816114,0.6442439981607195,-0.0017029727710551306,0.7163310982107018,1.0,0.30115966814722284,-0.5972621605095416,0.9365867371212262,0.03604419722269577,0.005759796234840198
threequarterbathnbr,0.32085168363110006,0.025806374354893656,0.16982072373830512,0.16946700500013454,0.20645244866648002,-0.005723533406596531,-0.07192683925451299,0.1693612923250391,-0.02197827979166882,0.40175048793412826,-0.2968091368454623,0.16725749516753846,-0.06675330673823761,0.09099296183112641,0.09081898788717713,0.01748721424390289,0.14238257021340886,0.12181044228635544,0.09445961559170281,0.09037924400280128,0.1653845018922615,0.07885849666933517,0.16478637749891337,0.24489155955797612,-0.0006084363744422307,0.5581350881927042,0.30115966814722284,1.0,-0.4462475945412241,0.33620619703513804,-0.023239146345193116,0.00494320088345104
unitcnt,-0.4918323603740947,-0.021314201906213262,-0.2918748549138181,0.02867209597064538,-0.18400499785707441,-0.02175879695945496,0.37178190697615593,-0.29028368290032586,0.08684124612296855,-0.5848094905342311,0.3878843466364025,-0.18863466844502674,0.08663191171075148,-0.11388835397815575,-0.16173722199990556,-0.023956287727491723,-0.025674631858313174,-0.03781766989882899,-0.03899685190501031,0.003051190151267971,0.03722972063938182,0.07684390901644679,0.037398393126472494,-0.37993766727688943,0.11259896689842958,-0.770628606803151,-0.5972621605095416,-0.4462475945412241,1.0,-0.5764447494121059,0.02980304099449078,-0.0028017073135430904
numberofstories,0.489886276068938,0.03690646628463424,0.4529926170588746,0.0707690888779016,0.0967786834559083,-0.010038896977133106,-0.0949038659112318,0.45031951666879755,0.11769092637263354,0.6370181516932446,-0.20430513714110005,-0.0661637531509103,-0.08442149917286336,0.18870955453561641,0.247355265837502,0.03467722781769132,-0.047718972102116106,-0.0025866513446144374,0.021320354145452722,-0.04305971494900127,0.003375507243136502,0.09099560886873828,0.0009714340254535658,0.6008626231877451,-0.055025574769281306,0.6901192693471052,0.9365867371212262,0.33620619703513804,-0.5764447494121059,1.0,0.0072713500198158245,0.004214542817747403
poolcnt,-0.0803758276252028,0.0033949931537926178,0.007998353004757252,0.22807456526007786,0.2697571160948581,-0.009482243460940554,-0.0841438609412153,0.00805534651917423,-0.02177268776130339,0.07707234599273713,0.07311013460632344,-0.06521417666833895,0.11723347387824046,0.20066000646340046,0.02795492915457951,0.00032307678104032513,0.21150362557707184,0.16626449815272856,0.11997682887766338,0.1552909146481564,0.20146997625203367,0.09961701925072138,0.20047941914684078,0.0383726130251495,0.2070044519504089,-0.025581068308623965,0.03604419722269577,-0.023239146345193116,0.02980304099449078,0.0072713500198158245,1.0,-0.008982692541813973
logerror,0.004837368474981968,0.009018443592324845,0.012481122800125364,0.03901082724058905,0.0395554549622041,0.003695818933220994,5.142730756512709e-05,0.01218275602894028,-0.010001512177276932,0.00889054405819052,0.00491546642538591,-0.0034322172320969757,0.005356525031593184,-0.00189882170081087,0.0025077268642622525,-0.0008534150182573538,0.023141147983619093,0.006525567435958554,-0.00303602447071343,-0.006670226749180016,0.027889286550778186,0.025467090070982024,0.02730331630621417,0.006356507286078619,0.02677657072224855,0.004616154313664112,0.005759796234840198,0.00494320088345104,-0.0028017073135430904,0.004214542817747403,-0.008982692541813973,1.0
